loss,accuracy,latent,step,iteration,experiment,factor,raw_acc,token_pred_ar
15.800018310546875,0.001429687556810677,6,8,0,1,0.305,0.004687500186264515,3.5040671825408936
15.39591121673584,0.001429687556810677,4,8,1,1,0.305,0.004687500186264515,3.505754232406616
14.199440002441406,0.002859375113621354,4,9,2,1,0.305,0.00937500037252903,3.3414041996002197
14.50304889678955,0.057902346476912496,6,11,3,1,0.305,0.18984375894069672,3.259531259536743
13.337018013000488,0.09459765806794167,14,9,4,1,0.305,0.3101562559604645,3.1310501098632812
13.744994163513184,0.10674999818205833,8,4,5,1,0.305,0.3499999940395355,3.255458116531372
12.819401741027832,0.13701171874999998,8,8,6,1,0.305,0.44921875,3.0522067546844482
12.679109573364258,0.15130859375,12,11,7,1,0.305,0.49609375,2.9511590003967285
12.189398765563965,0.15941015988588333,14,7,8,1,0.305,0.522656261920929,2.916132926940918
10.953498840332031,0.2118320348858833,8,12,9,1,0.305,0.694531261920929,2.685060977935791
11.16496467590332,0.2075546985864639,4,11,10,1,0.30999999999999994,0.6695312857627869,2.718853712081909
11.553281784057617,0.19490626126527782,8,10,11,1,0.31499999999999995,0.6187500357627869,2.733057737350464
11.762091636657715,0.1791562575101852,6,6,12,1,0.31499999999999995,0.5687500238418579,2.7828288078308105
11.405946731567383,0.19195312499999997,12,8,13,1,0.31499999999999995,0.609375,2.639012575149536
10.943283081054688,0.2027812537550926,10,7,14,1,0.31499999999999995,0.643750011920929,2.5541396141052246
11.371274948120117,0.18260157376527783,8,6,15,1,0.31499999999999995,0.5796875357627869,2.6237947940826416
10.718160629272461,0.19219921499490736,4,11,16,1,0.31499999999999995,0.610156238079071,2.5197160243988037
10.74557876586914,0.1867851600050926,8,8,17,1,0.31499999999999995,0.592968761920929,2.520200490951538
9.910157203674316,0.19490626126527782,14,5,18,1,0.31499999999999995,0.6187500357627869,2.446815013885498
9.219980239868164,0.22025390624999996,12,12,19,1,0.31499999999999995,0.69921875,2.248340129852295
10.575679779052734,0.17550001144409177,14,4,20,1,0.31999999999999995,0.5484375357627869,2.5074946880340576
9.489276885986328,0.2039999961853027,8,11,21,1,0.31999999999999995,0.637499988079071,2.2928385734558105
8.257010459899902,0.23925001144409175,6,9,22,1,0.31999999999999995,0.7476562857627869,2.0189104080200195
10.529911041259766,0.17265624999999996,8,10,23,1,0.3249999999999999,0.53125,2.4448137283325195
9.739259719848633,0.19296874999999994,16,12,24,1,0.3249999999999999,0.59375,2.287959337234497
9.619179725646973,0.18281249999999993,12,8,25,1,0.3249999999999999,0.5625,2.3088128566741943
9.096837997436523,0.18966798037290566,6,4,26,1,0.3249999999999999,0.5835937857627869,2.2402150630950928
8.93708324432373,0.20287109762430186,4,12,27,1,0.3249999999999999,0.624218761920929,2.1780667304992676
8.952933311462402,0.19144531637430184,10,10,28,1,0.3249999999999999,0.589062511920929,2.1882078647613525
8.39792537689209,0.19576171487569802,14,9,29,1,0.3249999999999999,0.602343738079071,2.107079029083252
8.320046424865723,0.18357422649860378,4,8,30,1,0.3249999999999999,0.5648437738418579,2.172173261642456
7.809464931488037,0.20947265624999994,16,11,31,1,0.3249999999999999,0.64453125,1.976889967918396
7.567328453063965,0.21353515237569803,12,10,32,1,0.3249999999999999,0.657031238079071,1.9122191667556763
8.307164192199707,0.18459374606609338,4,5,33,1,0.3299999999999999,0.559374988079071,2.1109607219696045
7.038338661193848,0.22429687499999992,4,7,34,1,0.3299999999999999,0.6796875,1.7914012670516968
8.080816268920898,0.1900078085064887,10,12,35,1,0.33499999999999985,0.567187488079071,2.0313854217529297
6.627837657928467,0.2282187619805335,14,4,36,1,0.33499999999999985,0.6812500357627869,1.7208794355392456
